glpi_hostid,host_name
1,alogan-test.cloud.lab.eng.bos.redhat.com
2,D6RG2G3
3,cnfde1.ptp.lab.eng.bos.redhat.com
4,cnfde9.ptp.lab.eng.bos.redhat.com
5,cnfde2.ptp.lab.eng.bos.redhat.com
6,cnfde3.ptp.lab.eng.bos.redhat.com
7,cnfde4.ptp.lab.eng.bos.redhat.com
8,cnfde5.ptp.lab.eng.bos.redhat.com
9,cnfde6.ptp.lab.eng.bos.redhat.com
10,cnfde7.ptp.lab.eng.bos.redhat.com
11,cnfde8.ptp.lab.eng.bos.redhat.com
12,cnfocto2.ptp.lab.eng.bos.redhat.com
13,cnfocto1.ptp.lab.eng.bos.redhat.com
14,cnfde10.ptp.lab.eng.bos.redhat.com
15,cnfde11.ptp.lab.eng.bos.redhat.com
16,cnfde13.ptp.lab.eng.bos.redhat.com
17,cnfde14.ptp.lab.eng.bos.redhat.com
18,cnfde15.ptp.lab.eng.bos.redhat.com
19,cnfde18.ptp.lab.eng.bos.redhat.com
20,cnfde19.ptp.lab.eng.bos.redhat.com
21,cnfde20.ptp.lab.eng.bos.redhat.com
22,cnfde21.ptp.lab.eng.bos.redhat.com
23,cnfde22.ptp.lab.eng.bos.redhat.com
24,cnfde17.ptp.lab.eng.bos.redhat.com
25,cnfde23.ptp.lab.eng.bos.redhat.com
26,cnfde12.ptp.lab.eng.bos.redhat.com
33,cnfdf01.telco5gran.eng.rdu2.redhat.com
34,cnfdf02.telco5gran.eng.rdu2.redhat.com
35,cnfdf03.telco5gran.eng.rdu2.redhat.com
36,cnfdf04.telco5gran.eng.rdu2.redhat.com
42,cnfdf08.telco5gran.eng.rdu2.redhat.com
43,hv3.telco5gran.eng.rdu2.redhat.com
44,hv4.telco5gran.eng.rdu2.redhat.com
45,hv5.telco5gran.eng.rdu2.redhat.com
46,hv6.telco5gran.eng.rdu2.redhat.com
47,hv7.telco5gran.eng.rdu2.redhat.com
48,cnfdf09.telco5gran.eng.rdu2.redhat.com
49,cnfdf10.telco5gran.eng.rdu2.redhat.com
50,cnfdf11.telco5gran.eng.rdu2.redhat.com
51,cnfdf12.telco5gran.eng.rdu2.redhat.com
52,cnfdf13.telco5gran.eng.rdu2.redhat.com
53,cnfdf14.telco5gran.eng.rdu2.redhat.com
54,cnfdf15.telco5gran.eng.rdu2.redhat.com
55,cnfdf16.telco5gran.eng.rdu2.redhat.com
56,cnfdf17.telco5gran.eng.rdu2.redhat.com
57,cnfdf18.telco5gran.eng.rdu2.redhat.com
58,hv8.telco5gran.eng.rdu2.redhat.com
59,hv9.telco5gran.eng.rdu2.redhat.com
60,rduosc1.telco5gran.eng.rdu2.redhat.com
61,rduosc2.telco5gran.eng.rdu2.redhat.com
62,rduosc3.telco5gran.eng.rdu2.redhat.com
62,rduosc3.telco5gran.eng.rdu2.redhat.com
63,cnfdf19.telco5gran.eng.rdu2.redhat.com
64,cnfdf20.telco5gran.eng.rdu2.redhat.com
65,cnfdf21.telco5gran.eng.rdu2.redhat.com
66,cnfdf22.telco5gran.eng.rdu2.redhat.com
67,cnfdf23.telco5gran.eng.rdu2.redhat.com
68,cnfdf24.telco5gran.eng.rdu2.redhat.com
69,cnfdf25.telco5gran.eng.rdu2.redhat.com
70,cnfdf26.telco5gran.eng.rdu2.redhat.com
71,cnfdf27.telco5gran.eng.rdu2.redhat.com
72,hv10.telco5gran.eng.rdu2.redhat.com
73,hv11.telco5gran.eng.rdu2.redhat.com
74,hv12.telco5gran.eng.rdu2.redhat.com
75,hv13.telco5gran.eng.rdu2.redhat.com
76,hv14.telco5gran.eng.rdu2.redhat.com
77,hv15.telco5gran.eng.rdu2.redhat.com
78,cnfdf28.telco5gran.eng.rdu2.redhat.com
79,cnfdf29.telco5gran.eng.rdu2.redhat.com
80,cnfdf30.telco5gran.eng.rdu2.redhat.com
81,cnfdf31.telco5gran.eng.rdu2.redhat.com
82,cnfdf32.telco5gran.eng.rdu2.redhat.com
83,cnfdf33.telco5gran.eng.rdu2.redhat.com
84,cnfdf34.telco5gran.eng.rdu2.redhat.com
85,cnfdf35.telco5gran.eng.rdu2.redhat.com
86,hv16.telco5gran.eng.rdu2.redhat.com
87,hv17.telco5gran.eng.rdu2.redhat.com
88,cnfdf36.telco5gran.eng.rdu2.redhat.com
89,cnfdf37.telco5gran.eng.rdu2.redhat.com
90,D6RF2G3
91,D6RD2G3
92,D6RB2G3
93,D6RC2G3
94,7XNSMH3
95,7XNRMH3
96,7XNTMH3
97,MXQ15205KJ
98,MXQ15205KK
99,MXQ15205KL
100,2M21480780
101,2M2148077Z
102,G4972G3
103,G48J2G3
104,3KK72G3
105,3KJG2G3
106,3KKB2G3
107,3KJH2G3
108,3KK92G3
109,3KJJ2G3
110,3KJF2G3
111,J0CD5K3
112,G0CD5K3
112,G0CD5K3
113,11CD5K3
114,C0CD5K3
115,H0CD5K3
116,F0CD5K3
117,D0CD5K3
118,DS9W4K3
119,GS9W4K3
120,FS9W4K3
121,1T9W4K3
122,HS9W4K3
123,JS9W4K3
124,gvs01.auto.bos2.lab
125,gvs02.auto.bos2.lab
126,gvs03.auto.bos2.lab
127,gvs04.auto.bos2.lab
128,gvs05.auto.bos2.lab
129,gvs01.sand1.auto.bos2.lab
130,gvs02.sand1.auto.bos2.lab
131,gvs03.sand1.auto.bos2.lab
132,gvs04.sand1.auto.bos2.lab
133,gwn01.sand1.auto.bos2.lab
134,gwn02.sand1.auto.bos2.lab
135,master-0.clus1.t5g.lab.eng.bos.redhat.com
136,master-1.clus1.t5g.lab.eng.bos.redhat.com
137,master-2.clus1.t5g.lab.eng.bos.redhat.com
138,worker-0.clus1.t5g.lab.eng.bos.redhat.com
139,worker-1.clus1.t5g.lab.eng.bos.redhat.com
140,worker-2.clus1.t5g.lab.eng.bos.redhat.com
141,master-0.clus0a.t5g.lab.eng.bos.redhat.com
142,master-1.clus0a.t5g.lab.eng.bos.redhat.com
143,master-2.clus0a.t5g.lab.eng.bos.redhat.com
144,worker-0.clus0a.t5g.lab.eng.bos.redhat.com
145,worker-1.clus0a.t5g.lab.eng.bos.redhat.com
146,worker-2.clus0a.t5g.lab.eng.bos.redhat.com
147,master-0.clus0b.t5g.lab.eng.bos.redhat.com
148,master-1.clus0b.t5g.lab.eng.bos.redhat.com
149,master-2.clus0b.t5g.lab.eng.bos.redhat.com
150,worker-0.clus0b.t5g.lab.eng.bos.redhat.com
151,worker-1.clus0b.t5g.lab.eng.bos.redhat.com
152,worker-2.clus0b.t5g.lab.eng.bos.redhat.com
153,cnfdc1.clus2.t5g.lab.eng.bos.redhat.com
154,cnfdc2.clus2.t5g.lab.eng.bos.redhat.com
155,cnfdc3.clus2.t5g.lab.eng.bos.redhat.com
156,cnfdc4.clus2.t5g.lab.eng.bos.redhat.com
157,cnfdc5.clus2.t5g.lab.eng.bos.redhat.com
158,cnfdc6.clus2.t5g.lab.eng.bos.redhat.com
159,cnfdc7.clus2.t5g.lab.eng.bos.redhat.com
160,cnfdc8.clus2.t5g.lab.eng.bos.redhat.com
161,cnfdc9.clus2.t5g.lab.eng.bos.redhat.com
162,cnfdd1.clus2.t5g.lab.eng.bos.redhat.com
162,cnfdd1.clus2.t5g.lab.eng.bos.redhat.com
163,cnfdd2.clus2.t5g.lab.eng.bos.redhat.com
164,cnfdd3.clus2.t5g.lab.eng.bos.redhat.com
165,cnfdd4.clus2.t5g.lab.eng.bos.redhat.com
166,cnfdd5.clus2.t5g.lab.eng.bos.redhat.com
167,cnfdd6.clus2.t5g.lab.eng.bos.redhat.com
168,cnfdd7.clus2.t5g.lab.eng.bos.redhat.com
169,cnfdd8.clus2.t5g.lab.eng.bos.redhat.com
170,cnfdd9.clus2.t5g.lab.eng.bos.redhat.com
171,ceph-osd0.clus3a.t5g.lab.eng.bos.redhat.com
172,ceph-osd1.clus3a.t5g.lab.eng.bos.redhat.com
173,master-0.clus3a.t5g.lab.eng.bos.redhat.com
174,master-1.clus3a.t5g.lab.eng.bos.redhat.com
175,master-2.clus3a.t5g.lab.eng.bos.redhat.com
176,worker-0.clus3a.t5g.lab.eng.bos.redhat.com
177,worker-1.clus3a.t5g.lab.eng.bos.redhat.com
178,worker-2.clus3a.t5g.lab.eng.bos.redhat.com
179,master-0.clus3b.t5g.lab.eng.bos.redhat.com
180,master-1.clus3b.t5g.lab.eng.bos.redhat.com
181,master-2.clus3b.t5g.lab.eng.bos.redhat.com
182,worker-0.clus3b.t5g.lab.eng.bos.redhat.com
183,cnfdb0.clus2.t5g.lab.eng.bos.redhat.com
184,cnfdb1.clus2.t5g.lab.eng.bos.redhat.com
185,cnfdb2.clus2.t5g.lab.eng.bos.redhat.com
186,cnfdb3.clus2.t5g.lab.eng.bos.redhat.com
187,cnfdb4.clus2.t5g.lab.eng.bos.redhat.com
188,cnfdb5.clus2.t5g.lab.eng.bos.redhat.com
189,MXQ2040FWW
190,DYPQQJ3
196,3QG2NH3
197,3QFZMH3
198,3QGXMH3
199,3QGYMH3
200,B6JMMH3
201,B6JLMH3
202,3QG1NH3
203,3QG0NH3
204,3QFYMH3
205,FSJNMH3
206,FSJPMH3
207,FSJMMH3
208,FSHWMH3
209,FSHVMH3
210,FSJLMH3
211,FSHSMH3
212,FSHRMH3
213,FSHTMH3
214,9T7V1N3
215,CT7V1N3
216,BT7V1N3
217,3V7V1N3
217,3V7V1N3
218,CVGT2Q3
219,DVGT2Q3
220,F6RTQN3
221,H6RTQN3
222,G6RTQN3
223,37RTQN3
224,27RTQN3
225,D6RTQN3
226,J6RTQN3
227,17RTQN3
228,47RTQN3
229,57RTQN3
230,77RTQN3
231,67RTQN3
232,gvs06.auto.bos2.lab
233,DFN6TH3
234,FFN6TH3
